DATE,DCOILWTICO
22/01/2014,96.35
23/01/2014,97.23
24/01/2014,96.66
27/01/2014,95.82
28/01/2014,97.49
29/01/2014,97.34
30/01/2014,98.25
31/01/2014,97.55
03/02/2014,96.44
04/02/2014,97.24
05/02/2014,97.4
06/02/2014,97.84
07/02/2014,99.98
10/02/2014,100.12
11/02/2014,99.96
12/02/2014,100.38
13/02/2014,100.27
14/02/2014,100.31
17/02/2014,.
18/02/2014,102.54
19/02/2014,103.46
20/02/2014,103.2
21/02/2014,102.53
24/02/2014,103.17
25/02/2014,102.2
26/02/2014,102.93
27/02/2014,102.68
28/02/2014,102.88
03/03/2014,105.34
04/03/2014,103.64
05/03/2014,101.75
06/03/2014,101.82
07/03/2014,102.82
10/03/2014,101.39
11/03/2014,100.29
12/03/2014,98.29
13/03/2014,98.57
14/03/2014,99.23
17/03/2014,98.43
18/03/2014,100.08
19/03/2014,100.71
20/03/2014,99.68
21/03/2014,99.97
24/03/2014,100.05
25/03/2014,99.66
26/03/2014,100.61
27/03/2014,101.25
28/03/2014,101.73
31/03/2014,101.57
01/04/2014,99.69
02/04/2014,99.6
03/04/2014,100.29
04/04/2014,101.16
07/04/2014,100.43
08/04/2014,102.57
09/04/2014,103.55
10/04/2014,103.37
11/04/2014,103.68
14/04/2014,104.05
15/04/2014,103.7
16/04/2014,103.71
17/04/2014,104.33
18/04/2014,.
21/04/2014,104.35
22/04/2014,101.69
23/04/2014,101.47
24/04/2014,102.2
25/04/2014,100.85
28/04/2014,101.13
29/04/2014,101.56
30/04/2014,100.07
01/05/2014,99.69
02/05/2014,100.09
05/05/2014,99.74
06/05/2014,99.81
07/05/2014,101.06
08/05/2014,100.52
09/05/2014,100.32
12/05/2014,100.89
13/05/2014,102.01
14/05/2014,102.63
15/05/2014,101.74
16/05/2014,102.31
19/05/2014,102.95
20/05/2014,102.8
21/05/2014,104.31
22/05/2014,104.03
23/05/2014,105.01
26/05/2014,.
27/05/2014,104.78
28/05/2014,103.37
29/05/2014,104.26
30/05/2014,103.4
02/06/2014,103.07
03/06/2014,103.34
04/06/2014,103.27
05/06/2014,103.17
06/06/2014,103.32
09/06/2014,105.09
10/06/2014,105.02
11/06/2014,105.04
12/06/2014,107.2
13/06/2014,107.49
16/06/2014,107.52
17/06/2014,106.95
18/06/2014,106.64
19/06/2014,107.08
20/06/2014,107.95
23/06/2014,106.83
24/06/2014,106.64
25/06/2014,107.04
26/06/2014,106.49
27/06/2014,106.46
30/06/2014,106.07
01/07/2014,106.06
02/07/2014,105.18
03/07/2014,104.76
04/07/2014,.
07/07/2014,104.19
08/07/2014,104.06
09/07/2014,102.93
10/07/2014,103.61
11/07/2014,101.48
14/07/2014,101.73
15/07/2014,100.56
16/07/2014,101.88
17/07/2014,103.84
18/07/2014,103.83
21/07/2014,105.34
22/07/2014,104.59
23/07/2014,103.81
24/07/2014,102.76
25/07/2014,105.23
28/07/2014,105.68
29/07/2014,104.91
30/07/2014,104.29
31/07/2014,98.23
01/08/2014,97.86
04/08/2014,98.26
05/08/2014,97.34
06/08/2014,96.93
07/08/2014,97.34
08/08/2014,97.61
11/08/2014,98.09
12/08/2014,97.36
13/08/2014,97.57
14/08/2014,95.54
15/08/2014,97.3
18/08/2014,96.44
19/08/2014,94.35
20/08/2014,96.4
21/08/2014,93.97
22/08/2014,93.61
25/08/2014,95.39
26/08/2014,95.78
27/08/2014,95.82
28/08/2014,96.44
29/08/2014,97.86
01/09/2014,.
02/09/2014,92.92
03/09/2014,95.5
04/09/2014,94.51
05/09/2014,93.32
08/09/2014,92.64
09/09/2014,92.73
10/09/2014,91.71
11/09/2014,92.89
12/09/2014,92.18
15/09/2014,92.86
16/09/2014,94.91
17/09/2014,94.33
18/09/2014,93.07
19/09/2014,92.43
22/09/2014,91.46
23/09/2014,91.55
24/09/2014,93.6
25/09/2014,93.59
26/09/2014,95.55
29/09/2014,94.53
30/09/2014,91.17
01/10/2014,90.74
02/10/2014,91.02
03/10/2014,89.76
06/10/2014,90.33
07/10/2014,88.89
08/10/2014,87.29
09/10/2014,85.76
10/10/2014,85.87
13/10/2014,85.73
14/10/2014,81.72
15/10/2014,81.82
16/10/2014,82.33
17/10/2014,82.8
20/10/2014,82.76
21/10/2014,83.25
22/10/2014,80.52
23/10/2014,82.81
24/10/2014,81.27
27/10/2014,81.26
28/10/2014,81.36
29/10/2014,82.25
30/10/2014,81.06
31/10/2014,80.53
03/11/2014,78.77
04/11/2014,77.15
05/11/2014,78.71
06/11/2014,77.87
07/11/2014,78.71
10/11/2014,77.43
11/11/2014,77.85
12/11/2014,77.16
13/11/2014,74.13
14/11/2014,75.91
17/11/2014,75.64
18/11/2014,74.55
19/11/2014,74.55
20/11/2014,75.63
21/11/2014,76.52
24/11/2014,75.74
25/11/2014,74.04
26/11/2014,73.7
27/11/2014,.
28/11/2014,65.94
01/12/2014,68.98
02/12/2014,66.99
03/12/2014,67.3
04/12/2014,66.73
05/12/2014,65.89
08/12/2014,63.13
09/12/2014,63.74
10/12/2014,60.99
11/12/2014,60.01
12/12/2014,57.81
15/12/2014,55.96
16/12/2014,55.97
17/12/2014,56.43
18/12/2014,54.18
19/12/2014,56.91
22/12/2014,55.25
23/12/2014,56.78
24/12/2014,55.7
25/12/2014,.
26/12/2014,54.59
29/12/2014,53.46
30/12/2014,54.14
31/12/2014,53.45
01/01/2015,.
02/01/2015,52.72
05/01/2015,50.05
06/01/2015,47.98
07/01/2015,48.69
08/01/2015,48.8
09/01/2015,48.35
12/01/2015,46.06
13/01/2015,45.92
14/01/2015,48.49
15/01/2015,46.37
16/01/2015,48.49
19/01/2015,.
20/01/2015,46.79
21/01/2015,47.85
22/01/2015,45.93
23/01/2015,45.26
26/01/2015,44.8
27/01/2015,45.84
28/01/2015,44.08
29/01/2015,44.12
30/01/2015,47.79
02/02/2015,49.25
03/02/2015,53.04
04/02/2015,48.45
05/02/2015,50.48
06/02/2015,51.66
09/02/2015,52.99
10/02/2015,50.06
11/02/2015,48.8
12/02/2015,51.17
13/02/2015,52.66
16/02/2015,.
